Freq,CH1_InVpp,CH2_OutVpp
20.53,2.40,0.4
92.25,2.68,0.45
205.8,2.72,0.48
301.2,2.72,0.49
405.8,2.72,0.50
502.5,2.72,0.53
600.6,2.72,0.56
700.3,2.72,0.61
806.5,2.72,0.64
909.1,2.72,0.69
1022,2.72,0.73
1134,2.72,0.80
1235,2.72,0.86
1333,2.72,0.92
1429,2.72,0.98
1538,2.72,1.04
1643,2.72,1.12
1742,2.72,1.20
1845,2.72,1.26
1916,2.72,1.30
2012,2.72,1.38
2146,2.72,1.46
2294,2.72,1.58
2514,2.72,1.72
2713,2.72,1.86
3003,2.72,2.04
3597,2.72,2.36
4096,2.72,2.52
4517,2.72,2.61
5025,2.72,2.68
5556,2.72,2.72
6025,2.72,2.72
7194,2.72,2.72
